,FIPS,2013 Rural-urban Continuum Code,Population_2010,Civilian_labor_force_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Cluster,State,Brewery_Count
1066,21175,9.0,13923,4352,6.9,37433,71.6,2,KY,0.0
1067,21177,6.0,31499,10004,8.7,45049,86.2,3,KY,0.0
1068,21179,6.0,43437,22755,6.9,64795,124.0,0,KY,1.0
1069,21181,8.0,7135,3275,6.8,38084,72.9,2,KY,0.0
1070,21183,6.0,23842,9289,7.2,47542,91.0,3,KY,0.0
1071,21185,1.0,60316,32438,4.8,101152,193.6,0,KY,0.0
1072,21187,8.0,10841,5082,6.4,51494,98.5,2,KY,0.0
1073,21189,9.0,4755,1061,7.4,28727,55.0,3,KY,0.0
1074,21191,1.0,14877,6803,5.2,58962,112.8,0,KY,0.0
1075,21193,7.0,28712,8181,8.9,38000,72.7,3,KY,0.0
1076,21195,7.0,65024,19196,8.4,36875,70.6,3,KY,2.0
1077,21197,6.0,12613,5070,7.3,41760,79.9,3,KY,0.0
1078,21199,5.0,63063,25795,7.3,43568,83.4,3,KY,2.0
1079,21201,8.0,2282,788,6.1,47017,90.0,2,KY,0.0
1080,21203,7.0,17056,6428,7.1,40790,78.1,3,KY,0.0
1081,21205,7.0,23333,9932,7.5,44068,84.3,3,KY,1.0
1082,21207,9.0,17565,6085,8.2,44056,84.3,3,KY,0.0
1083,21209,2.0,47173,29378,6.3,74719,143.0,0,KY,0.0
1084,21211,1.0,42074,25191,5.5,71737,137.3,0,KY,0.0
1085,21213,6.0,17327,8596,7.2,52931,101.3,2,KY,0.0
1086,21215,1.0,17061,10254,5.8,79863,152.8,0,KY,0.0
1087,21217,7.0,24512,12935,6.0,48485,92.8,2,KY,0.0
1088,21219,8.0,12460,5391,4.8,47742,91.4,2,KY,0.0
1089,21221,2.0,14339,6030,6.9,49955,95.6,3,KY,0.0
1090,21223,1.0,8809,3789,6.8,58998,112.9,0,KY,0.0
1091,21225,6.0,15007,5939,6.3,49870,95.4,2,KY,0.0
1092,21227,3.0,113792,63256,6.6,53238,101.9,0,KY,1.0
1093,21229,9.0,11717,6099,6.2,51286,98.1,2,KY,0.0
1094,21231,7.0,20813,7370,6.5,34449,65.9,3,KY,0.0
1095,21233,8.0,13621,5424,6.4,49079,93.9,2,KY,0.0
1096,21235,7.0,35637,13784,7.1,38191,73.1,3,KY,0.0
1097,21237,9.0,7355,2059,7.7,32773,62.7,3,KY,0.0
1098,21239,2.0,24939,14929,5.0,67815,129.8,0,KY,1.0
1099,22001,2.0,61773,23463,7.3,44728,87.5,3,LA,0.0
1100,22003,6.0,25764,8460,9.2,47111,92.2,3,LA,0.0
1101,22005,2.0,107215,64136,6.7,83072,162.5,0,LA,1.0
1102,22007,6.0,23421,8822,10.1,51763,101.3,3,LA,0.0
1103,22009,6.0,42073,15048,8.0,38316,75.0,3,LA,1.0
1104,22011,6.0,35654,14405,6.7,55343,108.3,2,LA,0.0
1105,22013,6.0,14353,5417,7.7,37198,72.8,3,LA,0.0
1106,22015,2.0,116979,56750,6.4,54080,105.8,0,LA,1.0
1107,22017,2.0,254969,102615,9.0,45613,89.2,3,LA,3.0
1108,22019,3.0,192768,98110,9.0,53050,103.8,3,LA,1.0
1109,22021,8.0,10132,3670,7.3,44007,86.1,2,LA,0.0
1110,22023,3.0,6839,3520,5.7,60317,118.0,0,LA,0.0
1111,22025,9.0,10407,3495,7.1,36794,72.0,2,LA,0.0
1112,22027,6.0,17195,5495,6.6,36497,71.4,3,LA,0.0
1113,22029,7.0,20822,6949,8.1,36276,71.0,3,LA,0.0
1114,22031,2.0,26656,10623,7.3,47347,92.6,3,LA,0.0
1115,22033,2.0,440171,228974,7.8,56303,110.2,0,LA,3.0
1116,22035,7.0,7759,1824,11.7,29943,58.6,3,LA,0.0
1117,22037,2.0,20267,7762,6.7,50041,97.9,3,LA,0.0
1118,22039,6.0,33984,11933,7.7,35146,68.8,3,LA,0.0
1119,22041,7.0,20767,7380,8.1,35484,69.4,3,LA,0.0
1120,22043,3.0,22309,8168,6.5,49544,96.9,3,LA,0.0
1121,22045,2.0,73240,27907,9.4,47731,93.4,3,LA,0.0
1122,22047,2.0,33387,13975,9.8,55198,108.0,3,LA,1.0
1123,22049,6.0,16274,6738,5.3,43232,84.6,2,LA,0.0
1124,22051,1.0,432552,211563,9.3,55909,109.4,0,LA,0.0
1125,22053,6.0,31594,12827,7.5,47988,93.9,3,LA,0.0
1126,22055,2.0,221578,113811,7.1,60053,117.5,0,LA,2.0
1127,22057,3.0,96318,41475,6.5,54145,105.9,0,LA,1.0
1128,22059,6.0,14890,6912,4.7,51014,99.8,2,LA,0.0
1129,22061,4.0,46735,20927,6.3,41608,81.4,3,LA,0.0
1130,22063,2.0,128026,68265,6.4,63852,124.9,0,LA,1.0
1131,22065,7.0,12093,3573,8.4,32229,63.1,3,LA,0.0
1132,22067,6.0,27979,10096,9.8,34922,68.3,3,LA,0.0
1133,22069,6.0,39566,16129,6.8,49536,96.9,2,LA,1.0
1134,22071,1.0,343829,181868,12.2,45092,88.2,3,LA,13.0
1135,22073,3.0,153720,69823,7.4,43235,84.6,3,LA,2.0
1136,22075,1.0,23042,9649,7.0,60795,119.0,0,LA,0.0
1137,22077,2.0,22802,9638,7.8,48011,93.9,3,LA,0.0
1138,22079,3.0,131613,55157,6.2,49687,97.2,3,LA,2.0
1139,22081,8.0,9091,3612,6.2,39806,77.9,2,LA,0.0
1140,22083,6.0,20725,8139,7.6,39586,77.5,3,LA,0.0
1141,22085,6.0,24233,9236,5.5,45486,89.0,2,LA,0.0
1142,22087,1.0,35897,20022,10.2,45806,89.6,3,LA,1.0
1143,22089,1.0,52780,24644,7.8,71579,140.1,0,LA,0.0
1144,22091,2.0,11203,4299,11.5,43376,84.9,3,LA,0.0
1145,22093,1.0,22102,9058,9.7,57250,112.0,0,LA,0.0
1146,22095,1.0,45924,19473,11.2,54944,107.5,3,LA,0.0
1147,22097,4.0,83384,32418,8.7,39599,77.5,3,LA,1.0
1148,22099,2.0,52160,22057,8.1,47247,92.4,3,LA,0.0
1149,22101,4.0,54650,19516,9.2,40918,80.1,3,LA,0.0
1150,22103,1.0,233740,116466,6.8,71526,140.0,0,LA,4.0
1151,22105,3.0,121097,56389,9.5,47860,93.6,3,LA,2.0
1152,22107,9.0,5252,1359,8.4,31436,61.5,3,LA,0.0
1153,22109,3.0,111860,46224,7.7,51719,101.2,3,LA,0.0
1154,22111,3.0,22721,8970,7.1,44617,87.3,3,LA,0.0
1155,22113,2.0,57999,23746,7.4,50193,98.2,3,LA,0.0
1156,22115,5.0,52334,15795,7.1,51652,101.1,3,LA,0.0
1157,22117,6.0,47168,16660,8.2,35505,69.5,3,LA,0.0
1158,22119,2.0,41207,14088,7.9,38386,75.1,3,LA,0.0
1159,22121,2.0,23788,13502,7.2,65344,127.9,0,LA,0.0
1160,22123,9.0,11604,3637,10.1,42614,83.4,3,LA,0.0
1161,22125,2.0,15625,5276,5.4,65296,127.8,0,LA,0.0
1162,22127,6.0,15313,4709,7.1,43166,84.5,3,LA,0.0
1163,23001,3.0,107702,54470,5.5,58958,100.2,0,ME,5.0
1164,23003,7.0,71870,29255,5.5,40675,69.1,2,ME,2.0
1165,23005,2.0,281674,160863,5.3,75254,127.9,0,ME,40.0
1166,23007,6.0,30768,13795,6.1,51136,86.9,2,ME,3.0
1167,23009,6.0,54418,27648,5.7,58926,100.2,2,ME,8.0
1168,23011,4.0,122151,61376,5.0,55358,94.1,2,ME,9.0
1169,23013,7.0,39736,19535,5.4,55910,95.0,2,ME,8.0
1170,23015,8.0,34457,16386,5.3,58619,99.7,2,ME,8.0
1171,23017,6.0,57833,25815,6.7,50344,85.6,2,ME,4.0
1172,23019,3.0,153923,74717,5.4,50702,86.2,2,ME,13.0
1173,23021,8.0,17535,7151,5.5,43509,74.0,2,ME,2.0
1174,23023,2.0,35293,19259,4.7,65841,111.9,0,ME,2.0
1175,23025,6.0,52228,22024,6.6,45333,77.1,3,ME,6.0
